SOC [-],OCV [V]
0.000689,2.998699076862745
0.001508,3.0102790768627448
0.002326,3.021219076862745
0.003141,3.031509076862745
0.003959,3.041809076862745
0.004773,3.051459076862745
0.005587,3.060459076862745
0.006402,3.069469076862745
0.007216,3.078479076862745
0.008034,3.086839076862745
0.008848,3.095209076862745
0.009662,3.102929076862745
0.010476,3.110649076862745
0.011295,3.118369076862745
0.012109,3.125439076862745
0.012928,3.132519076862745
0.013742,3.138949076862745
0.014561,3.146029076862745
0.015379,3.152459076862745
0.016193,3.158249076862745
0.017007,3.164689076862745
0.017826,3.170479076862745
0.01864,3.176269076862745
0.019454,3.182059076862745
0.020273,3.187209076862745
0.021087,3.192349076862745
0.021906,3.196859076862745
0.02272,3.201999076862745
0.023534,3.206509076862745
0.024348,3.211009076862745
0.025162,3.214869076862745
0.025981,3.218729076862745
0.0268,3.223229076862745
0.027618,3.2264490768627447
0.028437,3.229669076862745
0.029256,3.233529076862745
0.030074,3.236099076862745
0.030888,3.239319076862745
0.031707,3.242539076862745
0.032521,3.245109076862745
0.03334,3.247679076862745
0.034159,3.249609076862745
0.034977,3.252189076862745
0.035791,3.254759076862745
0.03661,3.256689076862745
0.037429,3.258619076862745
0.038247,3.2605490768627448
0.039066,3.263119076862745
0.03988,3.265049076862745
0.040694,3.266339076862745
0.041508,3.268269076862745
0.042322,3.270199076862745
0.043141,3.272129076862745
0.043955,3.273419076862745
0.044769,3.275349076862745
0.045588,3.276629076862745
0.046407,3.278559076862745
0.047225,3.279849076862745
0.048044,3.281139076862745
0.048863,3.282419076862745
0.049682,3.284349076862745
0.050495,3.285639076862745
0.051314,3.286929076862745
0.052133,3.2882090768627448
0.052947,3.289499076862745
0.053761,3.290789076862745
0.054575,3.2920690768627447
0.055394,3.2933590768627448
0.056213,3.294009076862745
0.057031,3.295289076862745
0.05785,3.296579076862745
0.058669,3.297869076862745
0.059483,3.299149076862745
0.060297,3.300439076862745
0.061115,3.301079076862745
0.06193,3.3023690768627447
0.062748,3.3036590768627447
0.063567,3.304299076862745
0.064386,3.305589076862745
0.0652,3.306869076862745
0.066014,3.307519076862745
0.066832,3.308799076862745
0.067651,3.309449076862745
0.06847,3.310729076862745
0.069289,3.311379076862745
0.070103,3.312659076862745
0.070917,3.313949076862745
0.071731,3.314589076862745
0.072545,3.315879076862745
0.073359,3.316519076862745
0.074178,3.317809076862745
0.074996,3.318449076862745
0.07581,3.319739076862745
0.076629,3.320379076862745
